Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Bảo Toàn,1333
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Khánh Xuân,1336
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Xuân Trường,1339
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Hồng Trị,1342
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Kim Cúc,1343
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Phan Thanh,1345
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Hồng An,1348
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Hưng Đạo,1351
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Hưng Thịnh,1352
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Huy Giáp,1354
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Đình Phùng,1357
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Sơn Lập,1359
Tỉnh Cao Bằng,4,Huyện Bảo Lạc,43,Xã Sơn Lộ,1360
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Thị trấn Thông Nông,1363
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Cần Yên,1366
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Cần Nông,1367
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Lương Thông,1372
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Đa Thông,1375
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Ngọc Động,1378
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Yên Sơn,1381
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Lương Can,1384
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Thanh Long,1387
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Thị trấn Xuân Hòa,1392
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Lũng Nặm,1393
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Trường Hà,1399
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Cải Viên,1402
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Nội Thôn,1411
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Tổng Cọt,1414
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Sóc Hà,1417
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Thượng Thôn,1420
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Hồng Sỹ,1429
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Quý Quân,1432
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Mã Ba,1435
Tỉnh Cao Bằng,4,Huyện Hà Quảng,45,Xã Ngọc Đào,1438
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Thị trấn Trà Lĩnh,1447
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Tri Phương,1453
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Quang Hán,1456
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Xuân Nội,1462
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Quang Trung,1465
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Quang Vinh,1468
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Cao Chương,1471
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Thị trấn Trùng Khánh,1477
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Ngọc Khê,1480
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Ngọc Côn,1481
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Phong Nậm,1483
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Đình Phong,1489
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Đàm Thuỷ,1495
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Khâm Thành,1498
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Chí Viễn,1501
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Lăng Hiếu,1504
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Phong Châu,1507
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Trung Phúc,1516
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Cao Thăng,1519
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Đức Hồng,1522
Tỉnh Cao Bằng,4,Huyện Trùng Khánh,47,Xã Đoài Dương,1525
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Minh Long,1534
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Lý Quốc,1537
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Thắng Lợi,1540
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Đồng Loan,1543
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Đức Quang,1546
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Kim Loan,1549
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Quang Long,1552
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã An Lạc,1555
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Thị trấn Thanh Nhật,1558
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Vinh Quý,1561
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Thống Nhất,1564
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Cô Ngân,1567
Tỉnh Cao Bằng,4,Huyện Hạ Lang,48,Xã Thị Hoa,1573
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Quốc Toản,1474
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Thị trấn Quảng Uyên,1576
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Phi Hải,1579
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Quảng Hưng,1582
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Độc Lập,1594
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Cai Bộ,1597
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Phúc Sen,1603
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Chí Thảo,1606
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Tự Do,1609
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Hồng Quang,1615
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Ngọc Động,1618
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Hạnh Phúc,1624
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Thị trấn Tà Lùng,1627
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Bế Văn Đàn,1630
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Cách Linh,1636
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Đại Sơn,1639
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Tiên Thành,1645
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Thị trấn Hoà Thuận,1648
Tỉnh Cao Bằng,4,Huyện Quảng Hòa,49,Xã Mỹ Hưng,1651
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Thị trấn Nước Hai,1654
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Dân Chủ,1657
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Nam Tuấn,1660
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Đại Tiến,1666
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Đức Long,1669
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Ngũ Lão,1672
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Trương Lương,1675
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Hồng Việt,1687
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Hoàng Tung,1696
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Nguyễn Huệ,1699
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Quang Trung,1702
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Bạch Đằng,1708
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Bình Dương,1711
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Lê Chung,1714
Tỉnh Cao Bằng,4,Huyện Hoà An,51,Xã Hồng Nam,1723
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Thị trấn Nguyên Bình,1726
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Thị trấn Tĩnh Túc,1729
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Yên Lạc,1732
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Triệu Nguyên,1735
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Ca Thành,1738
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Vũ Nông,1744
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Minh Tâm,1747
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Thể Dục,1750
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Mai Long,1756
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Vũ Minh,1762
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Hoa Thám,1765
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Phan Thanh,1768
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Quang Thành,1771
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Tam Kim,1774
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Thành Công,1777
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Thịnh Vượng,1780
Tỉnh Cao Bằng,4,Huyện Nguyên Bình,52,Xã Hưng Đạo,1783
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Thị trấn Đông Khê,1786
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Canh Tân,1789
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Kim Đồng,1792
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Minh Khai,1795
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Đức Thông,1801
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Thái Cường,1804
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Vân Trình,1807
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Thụy Hùng,1810
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Quang Trọng,1813
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Trọng Con,1816
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Lê Lai,1819
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Đức Long,1822
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Lê Lợi,1828
Tỉnh Cao Bằng,4,Huyện Thạch An,53,Xã Đức Xuân,1831
Tỉnh Bắc Kạn,6,Thành Phố Bắc Kạn,58,Phường Nguyễn Thị Minh Khai,1834
Tỉnh Bắc Kạn,6,Thành Phố Bắc Kạn,58,Phường Sông Cầu,1837
Tỉnh Bắc Kạn,6,Thành Phố Bắc Kạn,58,Phường Đức Xuân,1840
Tỉnh Bắc Kạn,6,Thành Phố Bắc Kạn,58,Phường Phùng Chí Kiên,1843
Tỉnh Bắc Kạn,6,Thành Phố Bắc Kạn,58,Phường Huyền Tụng,1846
Tỉnh Bắc Kạn,6,Thành Phố Bắc Kạn,58,Xã Dương Quang,1849
Tỉnh Bắc Kạn,6,Thành Phố Bắc Kạn,58,Xã Nông Thượng,1852
Tỉnh Bắc Kạn,6,Thành Phố Bắc Kạn,58,Phường Xuất Hóa,1855
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Bằng Thành,1858
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Nhạn Môn,1861
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Bộc Bố,1864
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Công Bằng,1867
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Giáo Hiệu,1870
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Xuân La,1873
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã An Thắng,1876
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Cổ Linh,1879
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Nghiên Loan,1882
Tỉnh Bắc Kạn,6,Huyện Pác Nặm,60,Xã Cao Tân,1885
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Thị trấn Chợ Rã,1888
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Bành Trạch,1891
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Phúc Lộc,1894
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Hà Hiệu,1897
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Cao Thượng,1900
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Khang Ninh,1906
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Nam Mẫu,1909
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Thượng Giáo,1912
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Địa Linh,1915
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Yến Dương,1918
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Chu Hương,1921
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Quảng Khê,1924
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Mỹ Phương,1927
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Hoàng Trĩ,1930
Tỉnh Bắc Kạn,6,Huyện Ba Bể,61,Xã Đồng Phúc,1933
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Thị trấn Nà Phặc,1936
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Thượng Ân,1939
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Bằng Vân,1942
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Cốc Đán,1945
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Trung Hoà,1948
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Đức Vân,1951
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Vân Tùng,1954
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Thượng Quan,1957
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Hiệp Lực,1960
Tỉnh Bắc Kạn,6,Huyện Ngân Sơn,62,Xã Thuần Mang,1963
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Thị trấn Phủ Thông,1969
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Vi Hương,1975
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Sĩ Bình,1978
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Vũ Muộn,1981
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Đôn Phong,1984
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Lục Bình,1990
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Tân Tú,1993
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Nguyên Phúc,1999
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Cao Sơn,2002
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Quân Hà,2005
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Cẩm Giàng,2008
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Mỹ Thanh,2011
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Dương Phong,2014
Tỉnh Bắc Kạn,6,Huyện Bạch Thông,63,Xã Quang Thuận,2017
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Thị trấn Bằng Lũng,2020
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Xuân Lạc,2023
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Nam Cường,2026
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Đồng Lạc,2029
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Tân Lập,2032
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Bản Thi,2035
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Quảng Bạch,2038
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Bằng Phúc,2041
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Yên Thịnh,2044
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Yên Thượng,2047
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Phương Viên,2050
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Ngọc Phái,2053
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Đồng Thắng,2059
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Lương Bằng,2062
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Bằng Lãng,2065
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Đại Sảo,2068
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Nghĩa Tá,2071
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Yên Mỹ,2077
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Bình Trung,2080
Tỉnh Bắc Kạn,6,Huyện Chợ Đồn,64,Xã Yên Phong,2083
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Thị trấn Đồng Tâm,2086
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Tân Sơn,2089
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Thanh Vận,2092
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Mai Lạp,2095
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Hoà Mục,2098
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Thanh Mai,2101
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Cao Kỳ,2104
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Nông Hạ,2107
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Yên Cư,2110
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Thanh Thịnh,2113
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Yên Hân,2116
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Như Cố,2122
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Bình Văn,2125
Tỉnh Bắc Kạn,6,Huyện Chợ Mới,65,Xã Quảng Chu,2131
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Văn Vũ,2137
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Văn Lang,2140
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Lương Thượng,2143
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Kim Hỷ,2146
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Cường Lợi,2152
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Thị trấn Yến Lạc,2155
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Kim Lư,2158
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Sơn Thành,2161
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Văn Minh,2170
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Côn Minh,2173
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Cư Lễ,2176
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Trần Phú,2179
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Quang Phong,2185
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Dương Sơn,2188
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Xuân Dương,2191
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Đổng Xá,2194
Tỉnh Bắc Kạn,6,Huyện Na Rì,66,Xã Liêm Thuỷ,2197
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Phan Thiết,2200
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Minh Xuân,2203
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Tân Quang,2206
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Xã Tràng Đà,2209
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Nông Tiến,2212
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Ỷ La,2215
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Tân Hà,2216
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Hưng Thành,2218
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Xã Kim Phú,2497
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Xã An Khang,2503
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Mỹ Lâm,2509
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường An Tường,2512
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Xã Lưỡng Vượng,2515
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Xã Thái Long,2521
Tỉnh Tuyên Quang,8,Thành phố Tuyên Quang,70,Phường Đội Cấn,2524
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Phúc Yên,2233
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Xuân Lập,2242
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Khuôn Hà,2251
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Thị trấn Lăng Can,2266
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Thượng Lâm,2269
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Bình An,2290
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Hồng Quang,2293
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Thổ Bình,2296
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Phúc Sơn,2299
Tỉnh Tuyên Quang,8,Huyện Lâm Bình,71,Xã Minh Quang,2302
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Thị trấn Na Hang,2221
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Sinh Long,2227
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Thượng Giáp,2230
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Thượng Nông,2239
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Côn Lôn,2245
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Yên Hoa,2248
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Hồng Thái,2254
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Đà Vị,2260
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Khau Tinh,2263
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Sơn Phú,2275
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Năng Khả,2281
Tỉnh Tuyên Quang,8,Huyện Na Hang,72,Xã Thanh Tương,2284
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Thị trấn Vĩnh Lộc,2287
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Trung Hà,2305
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Tân Mỹ,2308
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Hà Lang,2311
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Hùng Mỹ,2314
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Yên Lập,2317
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Tân An,2320
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Bình Phú,2323
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Xuân Quang,2326
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Ngọc Hội,2329
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Phú Bình,2332
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Hòa Phú,2335
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Phúc Thịnh,2338
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Kiên Đài,2341
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Tân Thịnh,2344
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Trung Hòa,2347
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Kim Bình,2350
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Hòa An,2353
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Vinh Quang,2356
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Tri Phú,2359
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Nhân Lý,2362
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Yên Nguyên,2365
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Linh Phú,2368
Tỉnh Tuyên Quang,8,Huyện Chiêm Hóa,73,Xã Bình Nhân,2371
Tỉnh Tuyên Quang,8,Huyện Hàm Yên,74,Thị trấn Tân Yên,2374
Tỉnh Tuyên Quang,8,Huyện Hàm Yên,74,Xã Yên Thuận,2377
Tỉnh Tuyên Quang,8,Huyện Hàm Yên,74,Xã Bạch Xa,2380
Tỉnh Tuyên Quang,8,Huyện Hàm Yên,74,Xã Minh Khương,2383
Tỉnh Tuyên Quang,8,Huyện Hàm Yên,74,Xã Yên Lâm,2386
Tỉnh Tuyên Quang,8,Huyện Hàm Yên,74,Xã Minh Dân,2389
Tỉnh Tuyên Quang,8,Huyện Hàm Yên,74,Xã Phù Lưu,2392
Tỉnh Tuyên Quang,8,Huyện Hàm Yên,74,Xã Minh Hương,2395
